week,timestamp_index,week_death_index,pageid,timestamp,views,share
1,6,-3,405184,20150707,13859,0.00000794
2,13,-2,405184,20150714,13049,0.00000756
3,20,-1,405184,20150721,14199,0.00000818
4,27,0,405184,20150728,1523641,0.00089507
5,34,1,405184,20150804,423777,0.00024652
6,41,2,405184,20150811,72545,0.00004187
7,48,3,405184,20150818,49519,0.00002836
8,55,4,405184,20150825,34938,0.00002005
9,62,5,405184,20150901,37204,0.00002070
10,69,6,405184,20150908,25603,0.00001376
11,76,7,405184,20150915,27066,0.00001542
12,83,8,405184,20150922,20115,0.00001161
13,90,9,405184,20150929,18566,0.00001088
14,97,10,405184,20151006,24620,0.00001402
15,104,11,405184,20151013,21021,0.00001192
16,111,12,405184,20151020,21101,0.00001184
17,118,13,405184,20151027,27240,0.00001550
18,125,14,405184,20151103,30093,0.00001697
19,132,15,405184,20151110,46677,0.00002668
20,139,16,405184,20151117,20215,0.00001150
21,146,17,405184,20151124,19617,0.00001132
22,153,18,405184,20151201,19056,0.00001083
23,160,19,405184,20151208,18409,0.00001037
24,167,20,405184,20151215,19114,0.00001159
25,174,21,405184,20151222,22470,0.00001428
26,181,22,405184,20151229,27750,0.00001589
27,188,23,405184,20160105,22022,0.00001191
28,195,24,405184,20160112,17741,0.00000964
29,202,25,405184,20160119,17361,0.00000931
30,209,26,405184,20160126,18198,0.00000982
31,216,27,405184,20160202,18083,0.00000984
32,223,28,405184,20160209,14646,0.00000814
33,230,29,405184,20160216,15200,0.00000824
34,237,30,405184,20160223,16134,0.00000885
35,244,31,405184,20160301,22183,0.00001220
36,251,32,405184,20160308,16851,0.00000967
37,258,33,405184,20160315,17630,0.00001040
38,265,34,405184,20160322,17442,0.00001042
39,272,35,405184,20160329,21578,0.00001262
40,279,36,405184,20160405,26956,0.00001542
41,286,37,405184,20160412,21873,0.00001272
42,293,38,405184,20160419,24162,0.00001374
43,300,39,405184,20160426,15989,0.00000930
44,307,40,405184,20160503,16635,0.00000974
45,314,41,405184,20160510,18426,0.00001075
46,321,42,405184,20160517,17766,0.00001024
47,328,43,405184,20160524,14178,0.00000847
48,335,44,405184,20160531,16448,0.00000964
49,342,45,405184,20160607,20904,0.00001236
50,349,46,405184,20160614,19344,0.00001146
51,356,47,405184,20160621,16059,0.00000957
52,363,48,405184,20160628,17066,0.00001012
53,370,49,405184,20160705,15418,0.00000911
54,377,50,405184,20160712,15984,0.00000971
55,384,51,405184,20160719,16325,0.00000874
56,391,52,405184,20160726,24841,0.00001262
57,398,53,405184,20160802,19498,0.00001022
58,405,54,405184,20160809,14718,0.00000748
59,412,55,405184,20160816,15086,0.00000857
60,419,56,405184,20160823,15802,0.00000898
61,426,57,405184,20160830,14803,0.00000846
62,433,58,405184,20160906,14071,0.00000800
63,440,59,405184,20160913,14487,0.00000816
64,447,60,405184,20160920,18893,0.00001066
65,454,61,405184,20160927,13698,0.00000785
66,461,62,405184,20161004,20057,0.00001129
67,468,63,405184,20161011,14508,0.00000805
68,475,64,405184,20161018,16839,0.00000939
69,482,65,405184,20161025,16471,0.00000941
70,489,66,405184,20161101,14913,0.00000808
71,496,67,405184,20161108,13453,0.00000704
72,503,68,405184,20161115,15229,0.00000817
73,510,69,405184,20161122,14129,0.00000778
74,517,70,405184,20161129,15784,0.00000849
75,524,71,405184,20161206,16326,0.00000883
76,531,72,405184,20161213,14867,0.00000839
77,538,73,405184,20161220,15483,0.00000896
78,545,74,405184,20161227,18428,0.00000982
79,552,75,405184,20170103,19945,0.00001010
80,559,76,405184,20170110,26521,0.00001346
81,566,77,405184,20170117,21168,0.00001066
82,573,78,405184,20170124,18425,0.00000926
83,580,79,405184,20170131,18647,0.00000958
84,587,80,405184,20170207,16585,0.00000852
85,594,81,405184,20170214,19507,0.00001025
86,601,82,405184,20170221,17182,0.00000884
87,608,83,405184,20170228,16034,0.00000845
88,615,84,405184,20170307,17498,0.00000929
89,622,85,405184,20170314,17007,0.00000905
90,629,86,405184,20170321,18581,0.00001019
91,636,87,405184,20170328,19419,0.00001093
92,643,88,405184,20170404,17615,0.00000999
93,650,89,405184,20170411,20274,0.00001153
94,657,90,405184,20170418,20090,0.00001108
95,664,91,405184,20170425,13860,0.00000779
96,671,92,405184,20170502,19070,0.00001065
97,678,93,405184,20170509,14097,0.00000801
98,685,94,405184,20170516,12421,0.00000693
99,692,95,405184,20170523,12493,0.00000730
100,699,96,405184,20170530,12826,0.00000733
101,706,97,405184,20170606,11627,0.00000679
102,713,98,405184,20170613,11919,0.00000721
103,720,99,405184,20170620,11969,0.00000733
104,727,100,405184,20170627,14311,0.00000894
105,734,101,405184,20170704,14014,0.00000851
106,741,102,405184,20170711,14943,0.00000902
107,748,103,405184,20170718,15418,0.00000924
108,755,104,405184,20170725,21280,0.00001300
109,762,105,405184,20170801,19060,0.00001181
110,769,106,405184,20170808,15624,0.00000960
111,776,107,405184,20170815,16489,0.00001009
112,783,108,405184,20170822,14975,0.00000924
113,790,109,405184,20170829,13942,0.00000860
114,797,110,405184,20170905,13018,0.00000786
115,804,111,405184,20170912,15131,0.00000911
116,811,112,405184,20170919,15159,0.00000903
117,818,113,405184,20170926,12778,0.00000776
118,825,114,405184,20171003,13406,0.00000789
119,832,115,405184,20171010,13530,0.00000788
120,839,116,405184,20171017,15466,0.00000906
121,846,117,405184,20171024,16704,0.00000967
122,853,118,405184,20171031,17590,0.00001014
123,860,119,405184,20171107,23073,0.00001319
124,867,120,405184,20171114,16119,0.00000918
125,874,121,405184,20171121,14994,0.00000868
126,881,122,405184,20171128,13509,0.00000781
127,888,123,405184,20171205,12914,0.00000733
128,895,124,405184,20171212,12618,0.00000747
129,902,125,405184,20171219,12635,0.00000800
130,909,126,405184,20171226,15324,0.00000887
131,916,127,405184,20180102,14873,0.00000783
132,923,128,405184,20180109,14828,0.00000780
133,930,129,405184,20180116,15357,0.00000806
134,937,130,405184,20180123,43605,0.00002322
135,944,131,405184,20180130,43796,0.00002375
136,951,132,405184,20180206,21408,0.00001162
137,958,133,405184,20180213,19288,0.00001062
138,965,134,405184,20180220,30396,0.00001635
139,972,135,405184,20180227,31122,0.00001681
140,979,136,405184,20180306,19704,0.00001078
141,986,137,405184,20180313,20782,0.00001133
142,993,138,405184,20180320,20106,0.00001124
143,1000,139,405184,20180327,23553,0.00001329
144,1007,140,405184,20180403,40335,0.00002219
145,1014,141,405184,20180410,42978,0.00002365
146,1021,142,405184,20180417,40045,0.00002269
147,1028,143,405184,20180424,20934,0.00001186
148,1035,144,405184,20180501,16391,0.00000951
149,1042,145,405184,20180508,14153,0.00000811
150,1049,146,405184,20180515,21697,0.00001200
151,1056,147,405184,20180522,13457,0.00000777
152,1063,148,405184,20180529,12776,0.00000743
153,1070,149,405184,20180605,12713,0.00000733
154,1077,150,405184,20180612,14581,0.00000864
155,1084,151,405184,20180619,16590,0.00000980
156,1091,152,405184,20180626,12661,0.00000756
0,0,-5,179643,20150701,9642,0.00000565
1,7,-4,179643,20150708,8062,0.00000461
2,14,-3,179643,20150715,4368,0.00000254
3,21,-2,179643,20150722,5374,0.00000308
4,28,-1,179643,20150729,708711,0.00041847
5,35,0,179643,20150805,203287,0.00011799
6,42,1,179643,20150812,78108,0.00004501
7,49,2,179643,20150819,163472,0.00009351
8,56,3,179643,20150826,19086,0.00001099
9,63,4,179643,20150902,11551,0.00000629
10,70,5,179643,20150909,8920,0.00000485
11,77,6,179643,20150916,11003,0.00000631
12,84,7,179643,20150923,6776,0.00000391
13,91,8,179643,20150930,6903,0.00000403
14,98,9,179643,20151007,6236,0.00000355
15,105,10,179643,20151014,14940,0.00000846
16,112,11,179643,20151021,13811,0.00000777
17,119,12,179643,20151028,14311,0.00000817
18,126,13,179643,20151104,9168,0.00000516
19,133,14,179643,20151111,7459,0.00000426
20,140,15,179643,20151118,7243,0.00000413
21,147,16,179643,20151125,8027,0.00000462
22,154,17,179643,20151202,13480,0.00000764
23,161,18,179643,20151209,11604,0.00000658
24,168,19,179643,20151216,11961,0.00000734
25,175,20,179643,20151223,48030,0.00003023
26,182,21,179643,20151230,25951,0.00001473
27,189,22,179643,20160106,8162,0.00000439
28,196,23,179643,20160113,7533,0.00000409
29,203,24,179643,20160120,6112,0.00000329
30,210,25,179643,20160127,7279,0.00000393
31,217,26,179643,20160203,7536,0.00000412
32,224,27,179643,20160210,6971,0.00000384
33,231,28,179643,20160217,6019,0.00000328
34,238,29,179643,20160224,5531,0.00000303
35,245,30,179643,20160302,5028,0.00000278
36,252,31,179643,20160309,9947,0.00000573
37,259,32,179643,20160316,11865,0.00000704
38,266,33,179643,20160323,4900,0.00000290
39,273,34,179643,20160330,4985,0.00000292
40,280,35,179643,20160406,4366,0.00000250
41,287,36,179643,20160413,4813,0.00000281
42,294,37,179643,20160420,5671,0.00000322
43,301,38,179643,20160427,6274,0.00000365
44,308,39,179643,20160504,5665,0.00000331
45,315,40,179643,20160511,14197,0.00000829
46,322,41,179643,20160518,4695,0.00000271
47,329,42,179643,20160525,5772,0.00000345
48,336,43,179643,20160601,5473,0.00000322
49,343,44,179643,20160608,5400,0.00000318
50,350,45,179643,20160615,6494,0.00000387
51,357,46,179643,20160622,4847,0.00000288
52,364,47,179643,20160629,4753,0.00000282
53,371,48,179643,20160706,4714,0.00000280
54,378,49,179643,20160713,5116,0.00000310
55,385,50,179643,20160720,7630,0.00000398
56,392,51,179643,20160727,7274,0.00000371
57,399,52,179643,20160803,4698,0.00000246
58,406,53,179643,20160810,6376,0.00000325
59,413,54,179643,20160817,8123,0.00000466
60,420,55,179643,20160824,12663,0.00000717
61,427,56,179643,20160831,6023,0.00000345
62,434,57,179643,20160907,5467,0.00000310
63,441,58,179643,20160914,5235,0.00000296
64,448,59,179643,20160921,4712,0.00000267
65,455,60,179643,20160928,4478,0.00000255
66,462,61,179643,20161005,4634,0.00000261
67,469,62,179643,20161012,4586,0.00000253
68,476,63,179643,20161019,4986,0.00000279
69,483,64,179643,20161026,4686,0.00000268
70,490,65,179643,20161102,5404,0.00000291
71,497,66,179643,20161109,9869,0.00000515
72,504,67,179643,20161116,19218,0.00001035
73,511,68,179643,20161123,12135,0.00000665
74,518,69,179643,20161130,5564,0.00000300
75,525,70,179643,20161207,7457,0.00000407
76,532,71,179643,20161214,16207,0.00000915
77,539,72,179643,20161221,14332,0.00000824
78,546,73,179643,20161228,14503,0.00000768
79,553,74,179643,20170104,13590,0.00000689
80,560,75,179643,20170111,22419,0.00001133
81,567,76,179643,20170118,7791,0.00000393
82,574,77,179643,20170125,6966,0.00000350
83,581,78,179643,20170201,6696,0.00000344
84,588,79,179643,20170208,8753,0.00000452
85,595,80,179643,20170215,6234,0.00000326
86,602,81,179643,20170222,10442,0.00000538
87,609,82,179643,20170301,9409,0.00000497
88,616,83,179643,20170308,7892,0.00000420
89,623,84,179643,20170315,8844,0.00000469
90,630,85,179643,20170322,5441,0.00000301
91,637,86,179643,20170329,5396,0.00000304
92,644,87,179643,20170405,6275,0.00000358
93,651,88,179643,20170412,5614,0.00000316
94,658,89,179643,20170419,5802,0.00000321
95,665,90,179643,20170426,10417,0.00000585
96,672,91,179643,20170503,7088,0.00000396
97,679,92,179643,20170510,8383,0.00000479
98,686,93,179643,20170517,6403,0.00000355
99,693,94,179643,20170524,7099,0.00000417
100,700,95,179643,20170531,5148,0.00000295
101,707,96,179643,20170607,5851,0.00000343
102,714,97,179643,20170614,9840,0.00000598
103,721,98,179643,20170621,7902,0.00000486
104,728,99,179643,20170628,7104,0.00000443
105,735,100,179643,20170705,5681,0.00000344
106,742,101,179643,20170712,5534,0.00000335
107,749,102,179643,20170719,5290,0.00000316
108,756,103,179643,20170726,6274,0.00000385
109,763,104,179643,20170802,5825,0.00000361
110,770,105,179643,20170809,7704,0.00000474
111,777,106,179643,20170816,8096,0.00000495
112,784,107,179643,20170823,7371,0.00000455
113,791,108,179643,20170830,6257,0.00000383
114,798,109,179643,20170906,7920,0.00000482
115,805,110,179643,20170913,7304,0.00000437
116,812,111,179643,20170920,6509,0.00000388
117,819,112,179643,20170927,14782,0.00000895
118,826,113,179643,20171004,22222,0.00001305
119,833,114,179643,20171011,26296,0.00001535
120,840,115,179643,20171018,14246,0.00000831
121,847,116,179643,20171025,7264,0.00000423
122,854,117,179643,20171101,10688,0.00000612
123,861,118,179643,20171108,8605,0.00000491
124,868,119,179643,20171115,6214,0.00000354
125,875,120,179643,20171122,6911,0.00000399
126,882,121,179643,20171129,5736,0.00000332
127,889,122,179643,20171206,5078,0.00000289
128,896,123,179643,20171213,10762,0.00000642
129,903,124,179643,20171220,14888,0.00000941
130,910,125,179643,20171227,7556,0.00000430
131,917,126,179643,20180103,11081,0.00000583
132,924,127,179643,20180110,6592,0.00000346
133,931,128,179643,20180117,7220,0.00000380
134,938,129,179643,20180124,5823,0.00000311
135,945,130,179643,20180131,5796,0.00000314
136,952,131,179643,20180207,6005,0.00000327
137,959,132,179643,20180214,6452,0.00000354
138,966,133,179643,20180221,5801,0.00000312
139,973,134,179643,20180228,5180,0.00000280
140,980,135,179643,20180307,6749,0.00000369
141,987,136,179643,20180314,5880,0.00000322
