link,name,year_of_birth,year_of_death,date_of_death,timestamp_of_death,median_views,median_views_before,median_views_after,median_share,median_share_before,median_share_after,max_views,max_share,max_change_before_views,max_change_before_share,median_views_bin2,median_views_before_bin2,median_views_after_bin2,median_share_bin2,median_share_before_bin2,median_share_after_bin2,max_views_bin2,max_share_bin2,max_change_before_views_bin2,max_change_before_share_bin2,median_views_bin3,median_views_before_bin3,median_views_after_bin3,median_share_bin3,median_share_before_bin3,median_share_after_bin3,max_views_bin3,max_share_bin3,max_change_before_views_bin3,max_change_before_share_bin3,pageid,description,canonical,display,thumbnail_source,thumbnail_width,thumbnail_height,extract_html
/wiki/Roddy_Piper,Roddy Piper,1954,2015,July 31,20150731,2350.5,1707.5,2365,0.000009219254663037475,0.000007165880283256175,0.000009279255665698568,993611,0.004380984076472017,581.9098096632504,611.3671877422572,4738,3778,4756,0.000009310392739717415,0.000007410600214738324,0.000009357371876498371,1228357,0.002645304104815166,325.1341979883536,356.96219309660523,16796,12794,16872.5,0.000009436540572283826,0.000007406541249231865,0.000009439666914855706,1828900,0.0010896948389651868,142.94982022823197,147.12600690345164,405184,Canadian professional wrestler and actor,Roddy_Piper,Roddy Piper,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Roddy_Piper_%282014-04-04_19-10-01_NEX-6_7421_DxO_%2813933727033%29%29.jpg/180px-Roddy_Piper_%282014-04-04_19-10-01_NEX-6_7421_DxO_%2813933727033%29%29.jpg,180,320,"<p><b>Roderick George Toombs</b>, better known by his ring name &quot;<b>Rowdy</b>&quot; <b>Roddy Piper</b>, was a Canadian professional wrestler and actor.</p>"
/wiki/Wes_Craven,Wes Craven,1939,2015,August 30,20150830,1463.5,1253,1478,0.000005793975090056176,0.000005042732791021636,0.000005890188064251503,635204,0.0023984168584988462,506.9465283320032,475.6184707563966,2947.5,2559,2984,0.0000057933193205016975,0.000005164761118075043,0.000005835023662180434,636487,0.001241381244567749,248.72489253614694,240.35598475664332,10417,9006.5,10558,0.000005826707004535249,0.000005169439917094364,0.000005845642817655364,924980,0.0005231880779164663,102.7013823349803,101.20788447243227,153147,American director,Wes_Craven,Wes Craven,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Wes_Craven_2010.jpg/219px-Wes_Craven_2010.jpg,219,320,"<p><b>Wesley Earl</b> &quot;<b>Wes</b>&quot; <b>Craven</b> was an American film director, writer, producer, and actor. He was known for his pioneering work in the genre of horror films, particularly slasher films, where his impact on the genre was considered prolific and influential. Due to the success and cultural impact of his works in the horror film genre, Craven has been called a &quot;Master of Horror&quot;.</p>"
/wiki/Yogi_Berra,Yogi Berra,1925,2015,September 22,20150922,1148,1407,1119,0.000004594162203004558,0.000005683133582384493,0.000004508256135126619,541493,0.002128672757343991,384.8564321250888,374.5596907913708,2328,2781,2263,0.000004628076098534695,0.000005771932634907189,0.00000457415004113133,542689,0.0010620187905010503,195.14167565623876,183.99708688182346,8314,10146,8119.5,0.000004736553046046918,0.000005902168664384483,0.000004627078066273264,935505,0.0005398557151528769,92.2043169722058,91.46734799541291,43088,"American baseball player, manager, coach",Yogi_Berra,Yogi Berra,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/1953_Bowman_Yogi_Berra.jpg/212px-1953_Bowman_Yogi_Berra.jpg,212,320,"<p><b>Lawrence Peter</b> &quot;<b>Yogi</b>&quot; <b>Berra</b> was an American professional baseball catcher, who later took on the roles of manager and coach. He played 19 seasons in Major League Baseball (MLB), all but the last for the New York Yankees. He was an 18-time All-Star and won 10 World Series championships as a player—more than any other player in MLB history. Berra had a career batting average of.285, while hitting 358 home runs and 1,430 runs batted in. He is one of only five players to win the American League Most Valuable Player Award three times. He is widely regarded as one of the greatest catchers in baseball history, and was elected to the Baseball Hall of Fame in 1972.</p>"
/wiki/Maureen_O%27Hara,Maureen O'Hara,1920,2015,October 24,20151024,1837,1800,1843,0.000007191832286671003,0.000007119614704583369,0.000007196718368414908,256091,0.0010173931113407369,142.27277777777778,142.9000238855304,3818,3608,3879,0.000007553951025242327,0.0000070650383578655536,0.000007620762882640315,487235,0.0010096391230430427,135.04296008869179,142.90638944925257,14088,13762,14067.5,0.000008084066183588389,0.00000794198549269158,0.00000807894926275665,704749,0.00039921432673677707,51.209780555151866,50.266312763243455,235309,Irish-American film actress and singer,Maureen_O'Hara,Maureen O'Hara,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Maureen_O%27Hara_in_The_Quiet_Man_%281952%29.png/275px-Maureen_O%27Hara_in_The_Quiet_Man_%281952%29.png,275,320,"<p><b>Maureen O'Hara</b> was an Irish-American actress and singer. O'Hara was a famous redhead who was known for playing fiercely passionate but sensible heroines, often in westerns and adventure films. On numerous occasions, she worked with director John Ford and longtime friend John Wayne. O'Hara was one of the last surviving stars from the Golden Age of Hollywood.</p>"
/wiki/Jonah_Lomu,Jonah Lomu,1975,2015,November 18,20151118,842,1260.5,825,0.0000033297280852288723,0.000005087737814050806,0.0000032853096759570966,569354,0.002204665418729353,451.68901229670763,433.3292121777047,1732.5,2726.5,1670,0.000003458356414954747,0.000005388385495641181,0.000003350281585256221,698253,0.0013629568791165623,256.09866128736473,252.9434614912198,6301,8875,6141,0.0000035759131006421395,0.000005034381116817619,0.0000035074045896216444,829712,0.00047338200527612074,93.48867605633802,94.02983093488152,264230,New Zealand rugby union player,Jonah_Lomu,Jonah Lomu,https://upload.wikimedia.org/wikipedia/commons/c/c6/Jonah_Lomu_%28cropped%29.jpg,200,300,"<p><b>Jonah Tali Lomu</b> was a New Zealand rugby union player. He became the youngest ever All Black when he played his first international in 1994 at the age of 19 years and 45 days. Playing on the wing Lomu finished his international career with 63 caps and 37 tries. He is regarded as the first true global superstar of rugby and consequently had a huge impact on the game. Lomu was inducted into the International Rugby Hall of Fame on 9 October 2007, and the IRB Hall of Fame on 24 October 2011.</p>"
/wiki/Scott_Weiland,Scott Weiland,1967,2015,December 3,20151203,2232.5,1265,2288,0.000008873066044632099,0.00000507898912456869,0.000009187833949283479,878128,0.0036115104054204703,694.1723320158103,711.0687416026237,4483,2553,4616,0.00000891855752832115,0.000005092072023987749,0.000009248372722725071,879338,0.0017824583109825362,344.4332158245202,350.0457775510099,15722,9047.5,16187,0.000008913923315666082,0.000005197990482448348,0.000009203401529023438,1681078,0.0009504841856435509,185.80580270793035,182.85608426044203,367133,American musician,Scott_Weiland,Scott Weiland,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Scott_Weiland_%28Stone_Temple_Pilots%29_Open_Air_St._Gallen_%28rotated%29.jpg/233px-Scott_Weiland_%28Stone_Temple_Pilots%29_Open_Air_St._Gallen_%28rotated%29.jpg,233,320,"<p><b>Scott Richard Weiland</b> was an American musician, singer and songwriter. During a career spanning three decades, Weiland was best known as the lead singer of the band Stone Temple Pilots from 1989 to 2002 and 2008 to 2013. He was also a member of supergroup Velvet Revolver from 2003 to 2008 and recorded one album with another supergroup, Art of Anarchy. He also established himself as a solo artist, releasing three studio albums, two cover albums, and collaborations with several other musicians throughout his career.</p>"
/wiki/Natalie_Cole,Natalie Cole,1950,2015,December 31,20151231,1550,705,1672,0.000006173016576349609,0.00000285355148457506,0.0000066427329965315324,609871,0.002603260512817107,865.0652482269503,912.2879075037172,3147,1409,3334,0.000006294417264087531,0.0000028482172397825725,0.000006735066644170074,610656,0.0013265757225628815,433.39673527324345,465.756510435331,11459,4977,12576.5,0.000006540840617939704,0.000002864986483481785,0.000007012388774476229,1295377,0.0007275796848126695,260.27265420936305,253.9557128829628,423882,American singer and songwriter,Natalie_Cole,Natalie Cole,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Natalie_Cole_2007.jpg/247px-Natalie_Cole_2007.jpg,247,320,"<p><b>Natalie Maria Cole</b> was an American singer, voice actress, songwriter, and actress. The daughter of the great American singer Nat King Cole, she rose to musical success in the mid-1970s as an R&amp;B artist with the hits &quot;This Will Be&quot;, &quot;Inseparable&quot; (1975), and &quot;Our Love&quot; (1977). Cole re-emerged as a pop artist with the 1987 album Everlasting and her cover of Bruce Springsteen's &quot;Pink Cadillac&quot;. In the 1990s, she re-recorded standards by her father, resulting in her biggest success, <i>Unforgettable... with Love</i>, which sold over seven million copies and also won Cole seven Grammy Awards. She sold over 30 million records worldwide. On December 31, 2015, Cole died at the age of 65 at Cedars-Sinai Medical Center in Los Angeles, California, due to congestive heart failure.</p>"
/wiki/David_Bowie,David Bowie,1947,2016,January 10,20160110,10885,9621,11165,0.00004379180087958463,0.0000381497627824797,0.000044985975238517265,6948182,0.023402298585770934,722.1891695249974,613.4323486938811,21864,19186,22346.5,0.000043812320028763845,0.000038539792148368213,0.0000444870800252431,6985568,0.012372748196582127,364.09715417491924,321.03826997691766,77728,72487,79576,0.00004412273031196695,0.00004163757269971058,0.000044838432541122474,12006245,0.00644236892442752,165.63307903486142,154.72489164749751,8786,"British musician, actor, record producer and arranger",David_Bowie,David Bowie,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/David-Bowie_Chicago_2002-08-08_photoby_Adam-Bielawski-cropped.jpg/272px-David-Bowie_Chicago_2002-08-08_photoby_Adam-Bielawski-cropped.jpg,272,320,"<p><b>David Robert Jones</b>, known professionally as <b>David Bowie</b>, was an English singer-songwriter and actor who is often considered to be one of the most influential musicians of the 20th century. He was a leading figure in popular music and was acclaimed by critics and fellow musicians for his innovative work, particularly for his work during the 1970s. His career was marked by reinvention and visual presentation, with his music and stagecraft significantly influencing popular music. During his lifetime, his record sales, estimated at 140 million albums worldwide, made him one of the world's best-selling music artists. In the UK, he was awarded ten platinum album certifications, eleven gold and eight silver, releasing eleven number-one albums. In the US, he received five platinum and nine gold certifications. He was inducted into the Rock and Roll Hall of Fame in 1996.</p>"
/wiki/Alan_Rickman,Alan Rickman,1946,2016,January 14,20160114,6778,3768,7562,0.00002691034725650043,0.000015159766351693347,0.000029755562038386523,3394010,0.012804558681093597,900.745753715499,844.640899077137,13447,7677.5,15373,0.000027384567613327072,0.000015426331404637986,0.000030363104981717855,4657063,0.008996172546426519,606.5858677955064,583.1699261771198,49435,26778.5,55986.5,0.00002780607117227087,0.00001546767855017745,0.00003081076073495142,5467390,0.002963549281032111,204.17088335791775,191.59625482377973,39879,"English film, television and stage actor",Alan_Rickman,Alan Rickman,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Alan_Rickman_cropped_and_retouched.jpg/235px-Alan_Rickman_cropped_and_retouched.jpg,235,320,"<p><b>Alan Sidney Patrick Rickman</b> was an English actor and director known for playing a variety of roles on stage, television and film. Rickman trained at the Royal Academy of Dramatic Art in London and became a member of the Royal Shakespeare Company, performing in numerous theatre productions of both classical and modern. On stage, Rickman is most known for his role as Le Victomte de Valmont in the 1985 production of <i>Les Liaisons Dangereuses</i>, for which he was nominated for both a <i>Tony Award for Best Actor in a Play</i> and a <i>Drama Desk Award for Outstanding Actor in a Play</i>. Rickman was also nominated for a second Tony Award in 2002 for playing the role of Elyot Chase in Noel Coward's <i>Private Lives</i>. In 1996, Rickman gained critical recognition for his portrayal of the dark monk Grigori Rasputin in the television film <i>Rasputin: Dark Servant of Destiny</i> winning him a Golden Globe Award, a Primetime Emmy Award, a SAG Award and a Satellite Award all for best actor in a miniseries or television film. Rickman's most notable roles are through his film work. One of his most famous performances is as the Sheriff of Nottingham in the 1991 film <i>Robin Hood: Prince of Thieves</i>, which earned him a <i>BAFTA Award for Best Actor in a Supporting Role</i>. However, Rickman's most popular role is as the mysterious Professor Severus Snape in the <i>Harry Potter</i> film franchise.</p>"
/wiki/Glenn_Frey,Glenn Frey,1948,2016,January 18,20160118,2934.5,1338,3127.5,0.0000116432441197699,0.000005444324557050075,0.000012594382677348863,1059449,0.0038441097006498295,791.8153961136024,706.0765133246763,5961,2699,6335,0.000011884592300051694,0.000005412721803475879,0.000012798557876397562,1447036,0.0026225126840415535,536.1378288254909,484.5090472518759,21164,9690,22390.5,0.000011992158171956774,0.000005436582017071249,0.000012720598411467646,1981787,0.0010662397504657653,204.518782249742,196.12317943842245,536880,American musician,Glenn_Frey,Glenn Frey,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Glenn_Frey.jpg/320px-Glenn_Frey.jpg,320,318,"<p><b>Glenn Lewis Frey</b> was an American singer, songwriter, actor and founding member of the rock band the Eagles. Frey was the lead singer and frontman for the Eagles, roles he came to share with fellow member Don Henley, with whom he wrote most of the Eagles' material. Frey played guitar and keyboards as well as singing lead vocals on songs such as &quot;Take It Easy&quot;, &quot;Peaceful Easy Feeling&quot;, &quot;Tequila Sunrise&quot;, &quot;Already Gone&quot;, &quot;James Dean&quot;, &quot;Lyin' Eyes&quot;, &quot;New Kid in Town&quot;, and &quot;Heartache Tonight&quot;.</p>"
