link,name,year_of_birth,year_of_death,date_of_death,timestamp_of_death,bin,median_views,median_views_before,median_views_after,median_views_adjusted,median_views_adjusted_before,median_views_adjusted_after,median_share,median_share_before,median_share_after,max_views_adjusted,max_views,max_share,max_change_before_views,max_change_before_views_adjusted,max_change_before_share,pageid,description,canonical,display,thumbnail_source,thumbnail_width,thumbnail_height,extract_html
/wiki/Chyna,Chyna,1969,2016,April 20,20160420,2,4207,4174,4216,4147,4195,4132,0,0,0,1432835,1480312,0.00569058936110138,354,341,341,690102,"American professional wrestler, actress, glamour model, bodybuilder, pornographic  actress",Chyna,Chyna,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Chyna_at_Slim-Fast_Fashion_Show_1.jpg/258px-Chyna_at_Slim-Fast_Fashion_Show_1.jpg,258,320,"<p><b>Chyna</b> was an American professional wrestler, glamour model, pornographic film actress, and bodybuilder.</p>"
/wiki/Prince_(musician),Prince (musician),1958,2016,April 21,20160421,2,9070,8049,9526,9097,8216,9376,0,0,0,5621870,5808147,0.022327576568934724,721,684,684,57317,"American singer, songwriter, musician and actor",Prince_(musician),Prince (musician),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Prince.jpg/240px-Prince.jpg,240,320,"<p><b>Prince Rogers Nelson</b> was an American singer, songwriter, musician, record producer and filmmaker.</p>"
/wiki/Muhammad_Ali,Muhammad Ali,1942,2016,June 3,20160603,2,13145,14927,12374,13046,14971,12051,0,0,0,4840505,4395198,0.019224342900008493,294,323,323,63747,"American boxer, philanthropist and activist",Muhammad_Ali,Muhammad Ali,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Muhammad_Ali_NYWTS.jpg/256px-Muhammad_Ali_NYWTS.jpg,256,320,"<p><b>Muhammad Ali</b> was an American professional boxer, activist, and philanthropist. He is widely regarded as one of the most significant and celebrated sports figures of the 20th century. From early in his career, Ali was known as an inspiring, controversial, and polarizing figure both inside and outside the ring.</p>"
/wiki/Christina_Grimmie,Christina Grimmie,1994,2016,June 10,20160610,2,4244,1030,5185,4210,1017,5198,0,0,0,1840391,1661164,0.00730922034171944,1612,1809,1808,30963890,"American singer, songwriter, musician, actress",Christina_Grimmie,Christina Grimmie,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Christina_Grimmie_2014_crop.jpg/251px-Christina_Grimmie_2014_crop.jpg,251,320,"<p><b>Christina Victoria Grimmie</b> was an American singer, songwriter, musician, actress, and YouTuber known for her participation in the NBC singing competition <i>The Voice</i> and for her covers of hit songs by contemporary pop musicians. In June 2011, she released her debut EP, <i>Find Me</i>. In 2013, she released her studio album, <i>With Love</i>. In 2016, she released her second EP, <i>Side A</i>, and a posthumous release, <span><i>Side B</i></span>, was made available on iTunes and Spotify. On June 9, 2017, her second and final album, <i>All Is Vanity</i>, was released posthumously.</p>"
/wiki/Anton_Yelchin,Anton Yelchin,1989,2016,June 19,20160619,2,5377,2087,6840,5404,2109,6828,0,0,0,775261,788945,0.003078995228762346,378,367,367,1034732,American film and television actor,Anton_Yelchin,Anton Yelchin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Anton_Yelchin_Deauville_2011.jpg/226px-Anton_Yelchin_Deauville_2011.jpg,226,320,"<p><b>Anton Viktorovich Yelchin</b> was an American actor. He played Pavel Chekov in three <i>Star Trek</i> films: including the first film, <i>Star Trek</i> (2009); the first sequel, <i>Star Trek Into Darkness</i> (2013) and the posthumously released <i>Star Trek Beyond</i> (2016).</p>"
/wiki/Gene_Wilder,Gene Wilder,1933,2016,August 29,20160829,2,3735,4025,3539,3771,4071,3482,0,0,0,1392843,1463457,0.005531756648293362,363,342,342,430144,American actor,Gene_Wilder,Gene Wilder,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Gene_Wilder_1970.JPG/253px-Gene_Wilder_1970.JPG,253,320,"<p><b>Jerome Silberman</b>, known professionally as <b>Gene Wilder</b>, was an American actor, screenwriter, director, producer, singer-songwriter and author.</p>"
/wiki/Alexis_Arquette,Alexis Arquette,1969,2016,September 11,20160911,2,1888,1611,2101,1911,1654,2096,0,0,0,596378,618359,0.0023685491677125164,383,360,360,639564,"American actress, cabaret performer and activist",Alexis_Arquette,Alexis Arquette,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Alexis_Arquette_2009.jpg/213px-Alexis_Arquette_2009.jpg,213,320,"<p><b>Alexis Arquette</b> was an American actress, cabaret performer, underground cartoonist, and activist. She underwent gender transitioning in her late thirties, and supported other people making similar transitions.</p>"
/wiki/Arnold_Palmer,Arnold Palmer,1929,2016,September 25,20160925,2,1196,1264,1151,1186,1265,1134,0,0,0,652391,691642,0.0025910097406684866,546,515,515,81694,American golfer,Arnold_Palmer,Arnold Palmer,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Arnold_Palmer_%28cropped%29.jpg/242px-Arnold_Palmer_%28cropped%29.jpg,242,320,"<p><b>Arnold Daniel Palmer</b> was an American professional golfer who is generally regarded as one of the greatest and most charismatic players in the sport's history. Dating back to 1955, he won numerous events on both the PGA Tour and the circuit now known as PGA Tour Champions. Nicknamed <b>The King</b>, he was one of golf's most popular stars and seen as a trailblazer, the first superstar of the sport's television age, which began in the 1950s.</p>"
/wiki/Leonard_Cohen,Leonard Cohen,1934,2016,November 7,20161107,2,3198,2887,3557,3254,2946,3528,0,0,0,1334874,1391697,0.0053015306028399555,482,453,453,19965375,Canadian poet and singer-songwriter,Leonard_Cohen,Leonard Cohen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Leonard_Cohen%2C_1988_01.jpg/216px-Leonard_Cohen%2C_1988_01.jpg,216,320,"<p><b>Leonard Norman Cohen</b> was a Canadian singer-songwriter, poet and novelist. His work explored religion, politics, isolation, sexuality and personal relationships. Cohen was inducted into the Canadian Music Hall of Fame, the Canadian Songwriters Hall of Fame, and the Rock and Roll Hall of Fame. He was a Companion of the Order of Canada, the nation's highest civilian honour. In 2011, Cohen received one of the Prince of Asturias Awards for literature and the ninth Glenn Gould Prize.</p>"
/wiki/Florence_Henderson,Florence Henderson,1934,2016,November 24,20161124,2,1206,953,1364,1221,970,1383,0,0,0,563957,535838,0.0022397903765072665,561,581,581,3648917,American actress,Florence_Henderson,Florence Henderson,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Florence_Henderson_2012.jpg/227px-Florence_Henderson_2012.jpg,227,320,"<p><b>Florence Agnes Henderson</b> was an American actress and singer with a career spanning six decades. She is best remembered for her starring role as matriarch Carol Brady on the ABC sitcom <i>The Brady Bunch</i> from 1969 to 1974. Henderson also appeared in film, as well as on stage, and hosted several long-running cooking and variety shows over the years. She appeared as a guest on many scripted and unscripted television programs and as a panelist on numerous game shows. She was a contestant on <i>Dancing with the Stars</i> in 2010. Henderson hosted her own talk show, <i>The Florence Henderson Show</i>, and cooking show, <i>Who's Cooking with Florence Henderson</i>, on Retirement Living TV during the years leading up to her death at age 82 on Thanksgiving Day, 2016 from heart failure.</p>"
/wiki/Fidel_Castro,Fidel Castro,1926,2016,November 25,20161125,2,5935,6437,5653,5879,6354,5569,0,0,0,1779821,1784848,0.007068663546323227,277,280,280,38301,former First Secretary of the Communist Party and President of Cuba,Fidel_Castro,Fidel Castro,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Fidel_Castro_-_MATS_Terminal_Washington_1959_%28cropped%29.png/249px-Fidel_Castro_-_MATS_Terminal_Washington_1959_%28cropped%29.png,249,320,"<p><b>Fidel Alejandro Castro Ruz</b> was a Cuban communist revolutionary and politician who governed the Republic of Cuba as Prime Minister from 1959 to 1976 and then as President from 1976 to 2008. A Marxist–Leninist and Cuban nationalist, Castro also served as the First Secretary of the Communist Party of Cuba from 1961 until 2011. Under his administration, Cuba became a one-party communist state, while industry and business were nationalized and state socialist reforms were implemented throughout society.</p>"
/wiki/John_Glenn,John Glenn,1921,2016,December 8,20161208,2,2505,1997,3363,2534,1970,3345,0,0,0,632471,637115,0.0025118958096930345,318,320,320,58702,American astronaut and politician,John_Glenn,John Glenn,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/John_Glenn_Low_Res.jpg/252px-John_Glenn_Low_Res.jpg,252,320,"<p>Colonel <b>John Herschel Glenn Jr.</b> was a United States Marine Corps aviator, engineer, astronaut, and United States Senator from Ohio. In 1962, he became the first American to orbit the Earth, circling it three times.</p>"
/wiki/Alan_Thicke,Alan Thicke,1947,2016,December 13,20161213,2,2153,1439,2716,2177,1454,2777,0,0,0,1970440,2051180,0.00782571528715661,1425,1355,1354,611455,American actor,Alan_Thicke,Alan Thicke,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Alan_Thicke_2010.jpg/213px-Alan_Thicke_2010.jpg,213,320,"<p><b>Alan Thicke</b> was a Canadian actor, songwriter, comedian, game and talk show host. He was the father of singer Robin Thicke. In 2013, Thicke was inducted into Canada's Walk of Fame. Thicke died on December 13, 2016, in the Providence Saint Joseph Medical Center in Burbank, California, U.S.</p>"
/wiki/Zsa_Zsa_Gabor,Zsa Zsa Gabor,1917,2016,December 18,20161218,2,3080,3484,2371,3052,3451,2355,0,0,0,1324380,1441194,0.005259853597723269,413,383,383,152860,Hungarian-American socialite and actress,Zsa_Zsa_Gabor,Zsa Zsa Gabor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Zsa_Zsa_Gabor_-_1959.jpg/256px-Zsa_Zsa_Gabor_-_1959.jpg,256,320,<p><b>Zsa Zsa Gabor</b> was a Hungarian-American actress and socialite. Her sisters were actresses Eva and Magda Gabor.</p>
