bin,timestamp_index,bin_death_index,pageid,timestamp,views,views_adjusted,share
0,2,-4,405184,20150703,13060,13388,0.00000759
1,9,-3,405184,20150710,12528,12645,0.00000717
2,16,-2,405184,20150717,12419,12752,0.00000722
3,23,-1,405184,20150724,15855,15957,0.00000904
4,30,0,405184,20150731,1828900,1975413,0.00108969
5,37,1,405184,20150807,150256,154453,0.00008719
6,44,2,405184,20150814,60454,61386,0.00003472
7,51,3,405184,20150821,38901,39292,0.00002228
8,58,4,405184,20150828,36864,37033,0.00002104
9,65,5,405184,20150904,30880,29871,0.00001674
10,72,6,405184,20150911,28395,27503,0.00001566
11,79,7,405184,20150918,22180,22358,0.00001270
12,86,8,405184,20150925,18878,19421,0.00001097
13,93,9,405184,20151002,23468,23660,0.00001351
14,100,10,405184,20151009,21999,22013,0.00001250
15,107,11,405184,20151016,21051,20898,0.00001191
16,114,12,405184,20151023,18878,18795,0.00001066
17,121,13,405184,20151030,38127,38313,0.00002169
18,128,14,405184,20151106,33525,33501,0.00001899
19,135,15,405184,20151113,34108,34502,0.00001943
20,142,16,405184,20151120,17402,17804,0.00001010
21,149,17,405184,20151127,22647,22572,0.00001287
22,156,18,405184,20151204,16340,16314,0.00000923
23,163,19,405184,20151211,18902,19176,0.00001090
24,170,20,405184,20151218,19992,22434,0.00001270
25,177,21,405184,20151225,26427,28631,0.00001621
26,184,22,405184,20160101,25246,24738,0.00001391
27,191,23,405184,20160108,19767,18829,0.00001060
28,198,24,405184,20160115,17177,16446,0.00000932
29,205,25,405184,20160122,18379,17401,0.00000988
30,212,26,405184,20160129,18486,17538,0.00000998
31,219,27,405184,20160205,15860,15428,0.00000873
32,226,28,405184,20160212,14979,14493,0.00000822
33,233,29,405184,20160219,15577,15001,0.00000850
34,240,30,405184,20160226,16887,16309,0.00000925
35,247,31,405184,20160304,21930,21610,0.00001224
36,254,32,405184,20160311,17320,17685,0.00001003
37,261,33,405184,20160318,17486,18628,0.00001056
38,268,34,405184,20160325,16683,17243,0.00000977
39,275,35,405184,20160401,23227,23675,0.00001344
40,282,36,405184,20160408,25851,26342,0.00001481
41,289,37,405184,20160415,26711,27100,0.00001551
42,296,38,405184,20160422,18911,19078,0.00001078
43,303,39,405184,20160429,15806,16320,0.00000927
44,310,40,405184,20160506,16149,16674,0.00000944
45,317,41,405184,20160513,18880,19473,0.00001095
46,324,42,405184,20160520,17539,18086,0.00001023
47,331,43,405184,20160527,13892,14581,0.00000827
48,338,44,405184,20160603,18587,19362,0.00001099
49,345,45,405184,20160610,19560,20270,0.00001147
50,352,46,405184,20160617,18831,19975,0.00001125
51,359,47,405184,20160624,16562,17307,0.00000984
52,366,48,405184,20160701,16350,17019,0.00000965
53,373,49,405184,20160708,15454,16323,0.00000926
54,380,50,405184,20160715,16992,17719,0.00001004
55,387,51,405184,20160722,15934,14293,0.00000812
56,394,52,405184,20160729,28471,25708,0.00001477
57,401,53,405184,20160805,14890,13554,0.00000767
58,408,54,405184,20160812,14085,13216,0.00000749
59,415,55,405184,20160819,16010,16069,0.00000911
60,422,56,405184,20160826,15302,15243,0.00000867
61,429,57,405184,20160902,14904,15056,0.00000856
62,436,58,405184,20160909,13898,13787,0.00000783
63,443,59,405184,20160916,14288,14200,0.00000804
64,450,60,405184,20160923,19243,19460,0.00001098
65,457,61,405184,20160930,17210,17011,0.00000973
66,464,62,405184,20161007,16573,16655,0.00000936
67,471,63,405184,20161014,15060,14667,0.00000833
68,478,64,405184,20161021,16674,16638,0.00000937
69,485,65,405184,20161028,16796,16812,0.00000948
70,492,66,405184,20161104,13802,12998,0.00000736
71,499,67,405184,20161111,14196,13148,0.00000746
72,506,68,405184,20161118,14623,14174,0.00000804
73,513,69,405184,20161125,14249,13579,0.00000769
74,520,70,405184,20161202,16274,15396,0.00000872
75,527,71,405184,20161209,16248,15873,0.00000900
76,534,72,405184,20161216,15202,15276,0.00000863
77,541,73,405184,20161223,16076,15829,0.00000896
78,548,74,405184,20161230,21170,19852,0.00001120
79,555,75,405184,20170106,16479,14755,0.00000837
80,562,76,405184,20170113,31340,27324,0.00001576
81,569,77,405184,20170120,17221,15263,0.00000865
82,576,78,405184,20170127,17803,15907,0.00000905
