pageid,bin_death_index,ma,diff_percent
43088,88,1254,-0.12
43088,89,1361,-0.05
43088,90,1377,-0.04
43088,91,1352,-0.05
43088,92,1422,-0.01
43088,93,1455,0.02
43088,94,1518,0.06
43088,95,1565,0.09
43088,96,1557,0.09
43088,97,1590,0.11
43088,98,1712,0.20
43088,99,1685,0.18
43088,100,1774,0.24
43088,101,1842,0.29
43088,102,1827,0.28
43088,103,1740,0.22
43088,104,1673,0.17
43088,105,1520,0.06
43088,106,1476,0.03
43088,107,1388,-0.03
43088,108,1286,-0.10
43088,109,1233,-0.14
43088,110,1212,-0.15
43088,111,1200,-0.16
43088,112,1197,-0.16
43088,113,1151,-0.20
43088,114,1069,-0.25
43088,115,1015,-0.29
43088,116,998,-0.30
43088,117,980,-0.31
43088,118,965,-0.33
43088,119,970,-0.32
43088,120,969,-0.32
235309,30,9319,4.20
235309,31,9355,4.22
235309,32,9340,4.21
235309,33,9797,4.47
235309,34,8763,3.89
235309,35,4418,1.47
235309,36,4022,1.24
235309,37,3668,1.05
235309,38,3555,0.98
235309,39,3431,0.91
235309,40,2925,0.63
235309,41,2672,0.49
235309,42,2532,0.41
235309,43,2895,0.62
235309,44,3712,1.07
235309,45,3738,1.09
235309,46,3768,1.10
235309,47,3787,1.11
235309,48,4850,1.71
235309,49,5177,1.89
235309,50,4884,1.73
235309,51,4625,1.58
235309,52,4732,1.64
235309,53,4819,1.69
235309,54,4872,1.72
235309,55,4260,1.38
235309,56,5398,2.01
235309,57,6931,2.87
235309,58,7089,2.96
235309,59,8129,3.54
235309,60,8408,3.69
235309,61,9190,4.13
235309,62,9907,4.53
235309,63,9063,4.06
235309,64,7708,3.30
235309,65,7315,3.08
235309,66,6379,2.56
235309,67,6233,2.48
235309,68,5958,2.32
235309,69,5382,2.00
235309,70,4950,1.76
235309,71,4829,1.69
235309,72,4489,1.51
235309,73,4214,1.35
235309,74,3983,1.22
235309,75,3278,0.83
235309,76,2610,0.46
235309,77,2324,0.30
235309,78,1942,0.08
235309,79,1817,0.01
235309,80,1776,-0.01
235309,81,1649,-0.08
235309,82,1637,-0.09
235309,83,1695,-0.05
235309,84,1708,-0.05
235309,85,1701,-0.05
235309,86,1719,-0.04
235309,87,1787,-0.00
235309,88,1803,0.01
235309,89,1866,0.04
235309,90,1755,-0.02
235309,91,1794,0.00
235309,92,1844,0.03
235309,93,1813,0.01
235309,94,1757,-0.02
235309,95,1737,-0.03
235309,96,1662,-0.07
235309,97,1638,-0.09
235309,98,1540,-0.14
235309,99,1772,-0.01
235309,100,1820,0.02
235309,101,1900,0.06
235309,102,1889,0.05
235309,103,1864,0.04
235309,104,1885,0.05
235309,105,1902,0.06
235309,106,1775,-0.01
235309,107,1716,-0.04
235309,108,1580,-0.12
235309,109,1558,-0.13
235309,110,1596,-0.11
235309,111,1591,-0.11
235309,112,1764,-0.02
235309,113,2131,0.19
235309,114,2293,0.28
235309,115,2340,0.31
235309,116,2411,0.35
235309,117,2383,0.33
235309,118,2528,0.41
235309,119,2730,0.52
235309,120,2321,0.30
264230,30,3157,1.47
264230,31,3153,1.46
264230,32,3500,1.73
264230,33,3383,1.64
264230,34,2763,1.16
264230,35,2527,0.97
264230,36,2559,1.00
264230,37,2576,1.01
264230,38,2421,0.89
264230,39,1997,0.56
264230,40,1960,0.53
264230,41,1995,0.56
264230,42,1993,0.56
264230,43,2040,0.59
264230,44,1984,0.55
264230,45,1934,0.51
264230,46,1850,0.44
264230,47,1801,0.41
264230,48,1735,0.35
264230,49,1649,0.29
264230,50,1428,0.12
264230,51,1297,0.01
264230,52,1287,0.01
264230,53,1266,-0.01
264230,54,1202,-0.06
264230,55,1128,-0.12
264230,56,1099,-0.14
264230,57,1086,-0.15
264230,58,1053,-0.18
264230,59,1006,-0.21
264230,60,987,-0.23
264230,61,1027,-0.20
264230,62,1043,-0.19
264230,63,1054,-0.18
264230,64,1198,-0.06
264230,65,2172,0.70
264230,66,3032,1.37
264230,67,3459,1.70
264230,68,3685,1.88
264230,69,3827,1.99
264230,70,3891,2.04
264230,71,3844,2.00
264230,72,2966,1.32
264230,73,2175,0.70
264230,74,1806,0.41
264230,75,1594,0.24
264230,76,1486,0.16
264230,77,1453,0.13
264230,78,1474,0.15
264230,79,1419,0.11
264230,80,1437,0.12
264230,81,1416,0.11
264230,82,1399,0.09
264230,83,1376,0.07
264230,84,1328,0.04
264230,85,1220,-0.05
264230,86,1199,-0.06
264230,87,1164,-0.09
264230,88,1142,-0.11
264230,89,1143,-0.11
264230,90,1119,-0.13
264230,91,1115,-0.13
264230,92,1091,-0.15
264230,93,1065,-0.17
264230,94,1015,-0.21
264230,95,997,-0.22
264230,96,963,-0.25
264230,97,982,-0.23
264230,98,981,-0.23
264230,99,970,-0.24
264230,100,1011,-0.21
264230,101,1139,-0.11
264230,102,1281,0.00
264230,103,1280,-0.00
264230,104,1292,0.01
264230,105,1307,0.02
264230,106,1343,0.05
264230,107,1331,0.04
264230,108,1211,-0.05
264230,109,1084,-0.15
264230,110,1074,-0.16
264230,111,1049,-0.18
264230,112,1033,-0.19
264230,113,1023,-0.20
264230,114,997,-0.22
264230,115,1015,-0.21
264230,116,1010,-0.21
264230,117,1022,-0.20
264230,118,1035,-0.19
264230,119,1029,-0.20
264230,120,1013,-0.21
367133,30,9000,6.04
367133,31,8598,5.73
367133,32,8412,5.58
367133,33,7479,4.85
367133,34,6895,4.40
367133,35,6530,4.11
367133,36,6011,3.70
367133,37,5789,3.53
367133,38,5621,3.40
367133,39,6208,3.86
367133,40,6298,3.93
367133,41,5867,3.59
367133,42,5919,3.63
367133,43,6141,3.81
367133,44,6087,3.76
367133,45,5980,3.68
367133,46,5182,3.05
367133,47,5374,3.21
367133,48,5486,3.29
367133,49,5113,3.00
367133,50,4753,2.72
367133,51,4638,2.63
367133,52,4587,2.59
367133,53,4558,2.57
367133,54,3773,1.95
367133,55,3424,1.68
367133,56,3299,1.58
367133,57,3288,1.57
367133,58,3233,1.53
367133,59,3188,1.49
367133,60,3136,1.45
367133,61,3289,1.57
367133,62,3302,1.58
367133,63,3228,1.53
367133,64,3589,1.81
367133,65,3767,1.95
367133,66,3788,1.96
367133,67,3708,1.90
367133,68,3544,1.77
367133,69,3561,1.79
367133,70,3584,1.80
367133,71,3096,1.42
367133,72,2875,1.25
367133,73,2802,1.19
367133,74,2749,1.15
367133,75,3945,2.09
367133,76,4061,2.18
367133,77,4112,2.22
367133,78,4132,2.23
367133,79,4158,2.25
367133,80,4182,2.27
367133,81,4174,2.27
367133,82,2935,1.30
367133,83,2809,1.20
367133,84,2763,1.16
367133,85,2745,1.15
367133,86,2696,1.11
367133,87,2687,1.10
367133,88,2636,1.06
367133,89,2578,1.02
367133,90,2474,0.94
367133,91,2399,0.88
367133,92,2345,0.83
367133,93,2343,0.83
367133,94,2298,0.80
367133,95,2308,0.81
367133,96,2485,0.94
367133,97,2490,0.95
367133,98,2495,0.95
367133,99,2505,0.96
367133,100,2569,1.01
367133,101,2561,1.00
367133,102,2562,1.00
367133,103,2366,0.85
367133,104,2357,0.84
367133,105,2324,0.82
367133,106,2337,0.83
367133,107,2200,0.72
367133,108,2198,0.72
367133,109,2208,0.73
367133,110,2215,0.73
367133,111,2214,0.73
367133,112,2280,0.78
367133,113,2293,0.79
367133,114,2336,0.83
367133,115,2391,0.87
367133,116,2755,1.16
367133,117,2902,1.27
367133,118,2970,1.32
367133,119,3017,1.36
367133,120,3037,1.38
423882,30,3553,3.95
